Identification Number,Speed(Kmph),Vechile Type,Number Plate
2,3,person,
3,6,car,
4,6,car,
5,5,car,
6,5,car,
7,7,bus,
8,4,car,
11,5,car,
1,5,car,
15,7,car,
17,8,bus,
20,8,car,
21,52,truck,
16,15,car,
25,5,car,
26,5,truck,
24,3,person,
30,7,train,
31,14,car,
32,5,truck,
33,8,car,
34,6,car,
35,10,bus,
47,13,car,
51,22,person,
53,5,truck,
55,8,bus,
58,7,car,
60,9,car,
62,7,car,
63,15,car,
64,4,car,
65,25,person,
70,7,truck,
73,26,car,
74,43,car,
75,22,car,
77,8,car,
80,7,car,
81,4,truck,
83,8,car,
87,14,truck,
89,42,truck,
91,4,car,
94,5,car,
96,14,truck,
97,36,car,
104,4,person,
106,3,car,
108,18,person,
109,10,car,
100,28,car,
112,7,car,
111,8,car,
115,5,car,
124,7,bus,
127,5,car,
